id,text,type,expected_ambiguity_score,expected_assumption_score,expected_readiness_level
167,"System should encrypt sensitive data",requirement,35,50,Needs clarification
168,"Test database connection",test_case,18,35,Ready
169,"Platform should support multiple users",requirement,28,40,Needs clarification
170,"Check file upload functionality",test_case,22,30,Ready
171,"Application should send emails",requirement,25,35,Needs clarification
172,"Verify API endpoints work",test_case,30,28,Ready
173,"System should log activities",requirement,20,32,Ready
174,"Test user session management",test_case,35,42,Needs clarification
175,"Platform should handle concurrent users",requirement,32,45,Needs clarification
176,"Check data export features",test_case,24,32,Ready
177,"Application should integrate with payment systems",requirement,38,55,Needs clarification
178,"Verify security measures work",test_case,40,48,Needs clarification
179,"System should backup data automatically",requirement,28,38,Needs clarification
180,"Test notification system",test_case,26,35,Ready
181,"Platform should scale horizontally",requirement,35,50,Needs clarification
182,"Check monitoring and alerting",test_case,32,40,Needs clarification
183,"Application should support internationalization",requirement,30,42,Needs clarification
184,"Verify compliance with regulations",test_case,38,45,Needs clarification
185,"System should handle high traffic loads",requirement,40,52,Needs clarification
186,"Test disaster recovery procedures",test_case,42,50,Needs clarification
187,"Platform should provide analytics",requirement,28,38,Needs clarification
188,"Check audit trail functionality",test_case,34,42,Needs clarification
189,"Application should support mobile apps",requirement,32,48,Needs clarification
190,"Verify third-party integrations work",test_case,36,44,Needs clarification
191,"System should provide real-time updates",requirement,35,45,Needs clarification
192,"Test automated deployment processes",test_case,38,42,Needs clarification
193,"Platform should handle microservices architecture",requirement,42,55,Needs clarification
194,"Check container orchestration works",test_case,40,48,Needs clarification
195,"Application should support cloud deployment",requirement,38,50,Needs clarification
196,"Verify DevOps pipeline works",test_case,35,45,Needs clarification
197,"System should provide API documentation",requirement,25,32,Ready
198,"Test CI/CD processes",test_case,30,38,Needs clarification
199,"Platform should support multiple environments",requirement,33,42,Needs clarification
200,"Check infrastructure as code works",test_case,35,40,Needs clarification
